sentiment,text,cleaned_text
neutral,The European Central Bank ECB is anticipated to raise its benchmark interest rate in the second half of 2011 at the earliest .,european central bank ecb anticipated raise benchmark interest rate second half earliest
negative,11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,august finnish measuring equipment maker vaisala oyj hel vaias said today net loss widened eur first half eur corresponding period year earlier
negative,"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",finnish power supply solutions systems provider efore oyj said net loss widened mln euro mln first quarter fiscal ending october euro mln period fiscal
negative,"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",adp news apr finnish business information systems developer solteq oyj hel stq v said today net loss widened eur usd first quarter eur peri
negative,Salonen added that data shows producers ' pulp inventories in North America are declining . ',salonen added data shows producers pulp inventories north america declining
negative,The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running .,elcoteq group recently announced last three months previous year brought major loss half billion kroons eur mln fifth quarter running
positive,"For the current year , Raute expects its net sales to increase and the operating result -- to be positive .",current year raute expects net sales increase operating result positive
positive,"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .",turnover surged eur eur due increasing service demand especially third quarter overall growth business
positive,"As a result , the company currently anticipates net sales to increase and the operating result to be positive .",result company currently anticipates net sales increase operating result positive
positive,"Asimilar agreement was signed between China Mobile Ltd. ( SEHK : 0941 and NYSE : CHL ) , the largest mobile carrier , and theGPS and social networking service provider , promoting GyPSii service before Beijing 2008 Olympic Games , according to thelatest news .",asimilar agreement signed china mobile ltd sehk nyse chl largest mobile carrier thegps social networking service provider promoting gypsii service beijing olympic games according thelatest news
positive,"`` UPM 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' Chief Executive Jussi Pesonen said .",upm deliveries increased third quarter percent efficiency operations improved chief executive jussi pesonen said
positive,"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts .",global sports equipment maker amer sports corp whose brands include atomic salomon wilson saw percent increase third quarter net profit euro million million strong sales cost cuts
neutral,"Exports make up more than 80 per cent of our sales , so the name Glaston also reflects a truly internationally operating company , '' explains Kyro 's President & CEO Mika Seitovirta .",exports make per cent sales name glaston also reflects truly internationally operating company explains kyro president ceo mika seitovirta
neutral,"Westend ICT Plc s new 409,665,891 shares and increase of share capital with EUR 2,000,000 based on the resolutions of extraordinary shareholders meeting on 27 December 2010 have today registered in the Trade Register .",westend ict plc new shares increase share capital eur based resolutions extraordinary shareholders meeting december today registered trade register
positive,"Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 .",due rapid expansion market share tallink terms passenger carriage tallinna sadam port tallinn totaled percent november percent november
positive,"Finnish industrial investor Panostaja Oyj OMX Helsinki : PNAAS OMX Helsinki : PNABS said on Friday 11 July that it has signed a deal to acquire the entire share capital of Kospa Oy , the manufacturer of waste disposal equipment .",finnish industrial investor panostaja oyj omx helsinki pnaas omx helsinki pnabs said friday july signed deal acquire entire share capital kospa oy manufacturer waste disposal equipment
positive,"Stora Enso R shares rose 1.20 pct to 11.84 eur , UPM-Kymmene was also dragged higher , rising 1.68 pct to 17.56 eur and M-Real B added 2.38 pct to 4.30 eur .",stora enso r shares rose pct eur upm kymmene also dragged higher rising pct eur real b added pct eur
negative,Cash Flow from Operations for the most recent quarter also reached a eight year low .,cash flow operations recent quarter also reached eight year low
positive,Both loans will be used to finance strategic investments such as shopping center redevelopment projects and refinancing of maturing debt .,loans used finance strategic investments shopping center redevelopment projects refinancing maturing debt
positive,"The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses .",stock price rose ores close sek ending two day streak losses
positive,"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",earnings per share eps amounted eur loss eur
positive,"Earnings per share ( EPS ) were EUR0 .03 , up from the loss of EUR0 .083 .",earnings per share eps eur loss eur
positive,"Operating profit totalled EUR 0.4 mn , up from an operating loss of EUR 0.8 mn year-on-year .",operating profit totalled eur mn operating loss eur mn year year
positive,"Operating profit totalled EUR 7.0 mn , up from a loss of EUR 4.0 mn in the second quarter of 2009 .",operating profit totalled eur mn loss eur mn second quarter
positive,Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,operating result including non recurring items rose eur mn loss eur mn
positive,"Tiimari , the Finnish retailer , reported to have geenrated quarterly revenues totalling EUR 1.3 mn in the 4th quarter 2009 , up from EUR 0.3 mn loss in 2008 .",tiimari finnish retailer reported geenrated quarterly revenues totalling eur mn th quarter eur mn loss
positive,"Earnings per share EPS amounted to EUR0 .03 , up from the loss of EUR0 .08 .",earnings per share eps amounted eur loss eur
positive,"Operating profit totalled EUR 5.8 mn , up from a loss of EUR 1.7 mn in the fourth quarter of 2009 .",operating profit totalled eur mn loss eur mn fourth quarter
positive,"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",operating profit eur mn loss eur mn year earlier
positive,The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,investments operational changes enable additional optimisation working hours thereby cost savings
positive,"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",okmetic products based high tech expertise generates added value customers innovative product development extremely efficient production process
neutral,"Shareholder 's full name and ID code : - Petri Ailus , born 15.9.1966 For further information , please contact Isto Hantila , CEO , tel. +358 9 591 8342 .",shareholder full name id code petri ailus born information please contact isto hantila ceo tel
positive,"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .",september finnish stationery gift retailer tiimari hel tii v said today net sales rose year year eur august driven growth finland demand baltics remained weak
positive,"By 14:29 CET on Monday , shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month .",cet monday shares bavarian nordic climbed dkk stock exchange copenhagen lost past month
positive,"For example , net sales increased by 5.9 % from the first quarter , and EBITDA increased from a negative EUR 0.2 mn in the first quarter of 2009 .",example net sales increased first quarter ebitda increased negative eur mn first quarter
positive,"Mobile phone sales rose 25 % to 5.87 billion euros , while enterprise solution sales dropped 39 % to 186 million euros .",mobile phone sales rose billion euros enterprise solution sales dropped million euros
negative,RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .,rising costs forced packaging producer huhtamaki axe jobs hampshire manufacturing plant
negative,"`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''",however rapidly increasing costs strengthening euro challenging whole industry impacted results
negative,"At this growth rate , paying off the national debt will be extremely painful .",growth rate paying national debt extremely painful
negative,Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,operating loss increased eur mn loss eur mn
negative,"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .",payment million litas interest long term loan provided ragutis majority shareholder estonia le coq also added losses
negative,"At the moment , Valio is not worried , but if the ban continues for long , it may become quite a problem .",moment valio worried ban continues long may become quite problem
positive,Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).,sponda record profit sale mln euro mln
positive,"Cencorp estimates that its net sales in the last quarter will be as earlier stated , EUR4 .3 m to EUR5 .0 m , and operating profit (EBIT)is estimated to be positive .",cencorp estimates net sales last quarter earlier stated eur eur operating profit ebit estimated positive
positive,`` Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies .,customer satisfied basware invoice automation solution extends implementation new geographies
positive,Repeats sees 2008 EBITA above 18 pct of sales .,repeats sees ebita pct sales
positive,` By separating side businesses we will be able to faster expand and develop Tapro retail network .,separating side businesses able faster expand develop tapro retail network
positive,"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .",strategic cooperation rentakran brings us new customers already working relationships authorities new territories said jarmo laasanen senior manager cramo
neutral,"` Patja has worked well for us for more than a decade , and Fujitsu 's new bid was competitive .",patja worked well us decade fujitsu new bid competitive
positive,"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",share purchase completed financing also provided expand latvia broadband infrastructure develop new areas business including acquisitions companies
positive,"`` In terms of profitability and earnings 2007 was the best year in our history , '' Chief Executive Veli-Matti Mattila said .",terms profitability earnings best year history chief executive veli matti mattila said
positive,`` The Government has had a very professional approach in assessing the offer .,government professional approach assessing offer
positive,"`` The margarine business has been put into good shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement .",margarine business put good shape last two years making natural addition bunge looking leverage position central northern european markets raisio ceo matti rihko said statement
positive,`` This is a win for all OEMs targeting to develop WiMAX products .,win oems targeting develop wimax products
positive,"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",portion million recorded part winnings prior patent dispute finnish phone maker nokia oyj
positive,"Finnish electronics manufacturing services company Elcoteq signing a cooperation agreement with a Japanese mobile phone manufacturer , bypasses Elcoteq Tallinn , says Jan Kotka , CEO of Elcoteq Tallinn .",finnish electronics manufacturing services company elcoteq signing cooperation agreement japanese mobile phone manufacturer bypasses elcoteq tallinn says jan kotka ceo elcoteq tallinn
positive,"According to A-Rehu 's Managing Director , Jouko Lahtinen , the project will stabilise costs and improve supply security .",according rehu managing director jouko lahtinen project stabilise costs improve supply security
positive,"According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 .",according ceo matti karppinen frozen foods posted good result
positive,"According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .",according viking line managing director nils erik eklund company board directors satisfied viking line performance
positive,Actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around EUR 4.5 million and will be effected mostly during the first half of 2010 .,actions improve operational efficiency adjust operations expected deliver annualised permanent cost savings around eur million effected mostly first half
positive,"At the same time , sales development in Russia was boosted by the opening of Stockmann Nevsky Centre in St Petersburg .",time sales development russia boosted opening stockmann nevsky centre st petersburg
positive,"Benefon , a wireless and GPS technology company , will supply Karputer with its TWIG navigation platform , a GPS satellite navigation and voice guidance service .",benefon wireless gps technology company supply karputer twig navigation platform gps satellite navigation voice guidance service
positive,"Biohit and VWR have been in close cooperation for a number of years in the US , where Biohit is one of VWR 's focus suppliers .",biohit vwr close cooperation number years us biohit one vwr focus suppliers
positive,Combining this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now proved to be a winning combination .,combining deep domain expertise application service management asm outsourcing service offerings proved winning combination
positive,Demand was brisk as expected and order levels have remained high .,demand brisk expected order levels remained high
positive,"During the past decade it has gradually divested noncore assets and bought several sports equipment makers , including California-based Fitness Products International and Sparks , Nevada-based ATEC , a leading maker of baseball and softball pitching machines .",past decade gradually divested noncore assets bought several sports equipment makers including california based fitness products international sparks nevada based atec leading maker baseball softball pitching machines
positive,Espoon kaupunki awarded contracts for personal care products .,espoon kaupunki awarded contracts personal care products
positive,"Exports accounted for 65.4 % of net sales , representing an all time record for the company .",exports accounted net sales representing time record company
positive,Finland 's Poyry Energy has won a contract to advise builders of a new cogeneration power plant in Lithuania 's second-biggest city of Kaunas and to supervise the construction process .,finland poyry energy contract advise builders new cogeneration power plant lithuania second biggest city kaunas supervise construction process
positive,"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .",finnish construction company yit oyj said november mln euro mln contract construct new office building local property company tapiola real estate oy
neutral,In 2005 Cargotec 's net sales exceeded EUR 2.3 billion .,cargotec net sales exceeded eur billion
positive,"In 2006 , Kone received an order from Aker Yards to supply 43 customised elevators for the very first Genesis cruise ship which is scheduled to be completed in 2009 .",kone received order aker yards supply customised elevators first genesis cruise ship scheduled completed
positive,"In addition to fireplace exports , demand for lining stone has exceeded the level of the earlier part of the year and will continue to be clearly brisker for the remainder of the year .",addition fireplace exports demand lining stone exceeded level earlier part year continue clearly brisker remainder year
positive,Kalmar has been awarded a new 5-year contract to supply its Rough Terrain Container Handler RTCH .,kalmar awarded new year contract supply rough terrain container handler rtch
positive,Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India .,major order india comptel corporation received significant long term order mediation provisioning solutions used leading operator india
positive,Managing Director Kari Inkinen says that Sponda 's leasing operations developed highly favourably .,managing director kari inkinen says sponda leasing operations developed highly favourably
positive,Net cash flow from operations is expected to remain positive .,net cash flow operations expected remain positive
positive,"Of the price , Kesko 's share is 10 mln euro $ 15.5 mln and it will recognize a gain of 4.0 mln euro $ 6.2 mln on the disposal which will be included in the result for the second quarter of 2008 .",price kesko share mln euro mln recognize gain mln euro mln disposal included result second quarter
positive,Olvi has posted a strong set of figures for the first six months of this year .,olvi posted strong set figures first six months year
positive,Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,operating profit improved eur mn eur mn
positive,Our standardised services have met with a positive reception among our customers as well as at Itella .,standardised services met positive reception among customers well itella
positive,Performance in the second half of 2009 exceeded expectations .,performance second half exceeded expectations
positive,Ponsse projects the forest machine markets to improve more than expected in 2010 from the previous year .,ponsse projects forest machine markets improve expected previous year
positive,"Ragutis , which is based in Lithuania 's second-largest city Kaunas , boosted its sales last year 22.3 per cent to 36.4 million liters .",ragutis based lithuania second largest city kaunas boosted sales last year per cent million liters
positive,"Raisio 's bid to buy Glisten is a `` win-win '' deal for both companies , the chairman of the UK snacks firm told just-food today 10 February .",raisio bid buy glisten win win deal companies chairman uk snacks firm told food today february
positive,Stora Enso owns 43 percent of Bergvik and earns therefore SEK 1.5 bn on the value appreciation .,stora enso owns percent bergvik earns therefore sek bn value appreciation
positive,Talvivaara also maintains its assumption of turning cash flow positive before the year end .,talvivaara also maintains assumption turning cash flow positive year end
positive,"Thanksto improvements in demand and the adjustments we have made , theutilization rates of Cramo 's fleet have substantiallyimproved . ''",thanksto improvements demand adjustments made theutilization rates cramo fleet substantiallyimproved
positive,The acquisition is expected to improve access to chrome ore resources in Turkey .,acquisition expected improve access chrome ore resources turkey
positive,The aim is an annual improvement in Ruukki Construction 's operating profit of more than EUR 3 million USD 4.1 m starting in 2009 .,aim annual improvement ruukki construction operating profit eur million usd starting
positive,"The company estimates that the trend in demand for sports equipment will be steady in 2006 , '' Amer 's report said .",company estimates trend demand sports equipment steady amer report said
positive,The estimated synergy benefits are at least EUR7m annually .,estimated synergy benefits least eur annually
neutral,The goal will be achieved via organic growth possibly supplemented by acquisitions .,goal achieved via organic growth possibly supplemented acquisitions
positive,The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,group business balanced broad portfolio sports presence major markets
neutral,The Group 's business is balanced by its broad portfolio of sports and presence in all major markets .,group business balanced broad portfolio sports presence major markets
positive,The objective of the planned measures is to achieve significant savings in the next few years .,objective planned measures achieve significant savings next years
positive,The rebuilds are designed to improve the machines ' performance and product quality .,rebuilds designed improve machines performance product quality
positive,"The transaction will have a positive impact of around EUR2m on earnings , which Ruukki will recognize during the fourth quarter of this year .",transaction positive impact around eur earnings ruukki recognize fourth quarter year
positive,"When the situation normalises , the company will be able to increase the amount of residential units for sale in St Petersburg and Moscow , in particular .",situation normalises company able increase amount residential units sale st petersburg moscow particular
positive,"` This is a repeat order to follow successfully installed 159 elevators in the same Delhi metro system , ' Kone spokeswoman told Thomson Financial News .",repeat order follow successfully installed elevators delhi metro system kone spokeswoman told thomson financial news
positive,"`` Our customers now have the chance to make bookings for all the services they want at one location , '' said Mikko Tuomainen , in-charge of Finnair 's Internet ( sales ) .",customers chance make bookings services want one location said mikko tuomainen charge finnair internet sales
positive,`` Stonesoft sees great promise in the future of IPv6 .,stonesoft sees great promise future ipv
positive,`` The combined activities will create value for shareholders and be good for our employees and customers .,combined activities create value shareholders good employees customers
positive,`` The trend in the sports and leisure markets was favorable in the first months of the year .,trend sports leisure markets favorable first months year
positive,"`` We continued actively to focus R&D and to position our offering away from point solutions towards dynamic end-to-end solutions , '' Ervio stated .",continued actively focus r position offering away point solutions towards dynamic end end solutions ervio stated
positive,16 February 2011 - Finnish industrial machinery company Metso Oyj ( HEL : MEO1V ) said today it will deliver minerals processing equipment and basic engineering to Canadian miner Northland Resources ( OSL : NAUR ) ( TSE : NAU ) .,february finnish industrial machinery company metso oyj hel meo v said today deliver minerals processing equipment basic engineering canadian miner northland resources osl naur tse nau
positive,27 January 2011 - Finnish IT solutions provider Affecto Oyj ( HEL : AFE1V ) said today it has won a EUR1 .2 m ( USD1 .6 m ) contract from state-owned Lithuanian Social Insurance Institution ( SODRA ) .,january finnish solutions provider affecto oyj hel afe v said today eur usd contract state owned lithuanian social insurance institution sodra
positive,"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",according finnish pension insurance company varma varma recipient two thirds revenue earnings related pension cover competitive tendering finland
positive,Finnish construction group Lemmink+Æinen has been awarded two road building contracts by the Lithuanian transport administration .,finnish construction group lemmink inen awarded two road building contracts lithuanian transport administration
positive,"Finnish construction group YIT has been awarded a contract to install heating , air conditioning and cooling systems to the new head office of the automobile association ADAC in Munich in Germany .",finnish construction group yit awarded contract install heating air conditioning cooling systems new head office automobile association adac munich germany
positive,"Finnish flexible packaging manufacturer Suominen Corporation reports net sales of EUR 54.5 mn in the first quarter of 2008 , compared with EUR 54.3 mn a year earlier .",finnish flexible packaging manufacturer suominen corporation reports net sales eur mn first quarter compared eur mn year earlier
positive,Finnish forest machinery manufacturer Ponsse has agreed with Volvo on the start of cooperation in Latin America .,finnish forest machinery manufacturer ponsse agreed volvo start cooperation latin america
positive,"Finnish Metso Paper has been awarded a contract for the rebuild of Sabah Forest Industries ' ( SFI ) pulp mill in Sabah , Malaysia .",finnish metso paper awarded contract rebuild sabah forest industries sfi pulp mill sabah malaysia
positive,"Finnish Metso Paper has won an order to supply an uncoated fine paper machine to MCC Paper Yinhe , in China .",finnish metso paper order supply uncoated fine paper machine mcc paper yinhe china
positive,Finnish Outokumpu Technology has been awarded several new grinding technology contracts .,finnish outokumpu technology awarded several new grinding technology contracts
positive,Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+¦rbindelsen bridge in Gothenburg in Sweden .,finnish rautaruukki awarded contract supply install steel superstructures partihallsf rbindelsen bridge gothenburg sweden
positive,"Lule+_ municipality has awarded YIT a 2-year contract , for property management of about one third of the municipality 's properties , with a total area of 140,000 sq. metres .",lule municipality awarded yit year contract property management one third municipality properties total area sq metres
positive,"The shopping center to be opened in St. Petersburg , Russia in November 2010 will turn the cash flow of Finnish department store chain Stockmann 's Russian operations positive for the first time in 2011 .",shopping center opened st petersburg russia november turn cash flow finnish department store chain stockmann russian operations positive first time
positive,"According to Atria 's President and CEO Matti Tikkakoski , the company 's Swedish operations significantly improved in the first quarter .",according atria president ceo matti tikkakoski company swedish operations significantly improved first quarter
positive,"According to CEO Kai Telanne , the company 's newspapers achieved the best financial result ever .",according ceo kai telanne company newspapers achieved best financial result ever
positive,"According to Kesko , the company agreed with the city administration about lease of the building in 2006 , its resettlement and construction of a five-star hotel Hilton for 120 rooms .",according kesko company agreed city administration lease building resettlement construction five star hotel hilton rooms
positive,"According to Nordic financial group Nordea 's analyst Sami Sarkamies , this makes Nokia 's portfolio competitive again .",according nordic financial group nordea analyst sami sarkamies makes nokia portfolio competitive
positive,"According to Ringman , Finnish paper companies have acquired know-how and capacity in paper recycling , which has turned out to be a successful strategy .",according ringman finnish paper companies acquired know capacity paper recycling turned successful strategy
positive,"According to Schmardin , Nordea will most likely try to win customers over from other pension fund providers .",according schmardin nordea likely try win customers pension fund providers
positive,"According to the CEO of Nordea Bank Estonia Vahur Kraft , Nordea Finland and Stockmann have been cooperating for more than ten years .",according ceo nordea bank estonia vahur kraft nordea finland stockmann cooperating ten years
positive,"Adanac Molybdenum of Canada has ordered grinding technology for its molybdenum project in British Columbia , Canada , while Shalkiya Zinc of Kazakhstan has awarded a contract for grinding technology for the Shalkiya zinc-lead project in Kazakhstan .",adanac molybdenum canada ordered grinding technology molybdenum project british columbia canada shalkiya zinc kazakhstan awarded contract grinding technology shalkiya zinc lead project kazakhstan
positive,All of Raisio 's divisions recorded an operating profit .,raisio divisions recorded operating profit
neutral,"An estimated 30 pct of mobile calls are made from the home , and France Telecom hopes that 15 pct of its Orange clients will sign up for the service by the end of 2008 .",estimated pct mobile calls made home france telecom hopes pct orange clients sign service end
positive,"And the broker repeated its ` buy ' rating , based on expectations that current restructuring will lead to a clear improvement in performance in Europe in 2007 .",broker repeated buy rating based expectations current restructuring lead clear improvement performance europe
positive,"Arvo Vuorenmaa , the Loviisa plant 's general manager said the application for the new licence was a `` standard '' procedure and that he was `` quite confident '' about approval being granted .",arvo vuorenmaa loviisa plant general manager said application new licence standard procedure quite confident approval granted
positive,"As a domestic business , Best-In is already close to Finnish dog owners .",domestic business best already close finnish dog owners
positive,"BasWare 's CEO Ilkka Sihvo comments in conjunction with the Interim Report : `` As a whole , BasWare succeeded well in the second quarter of 2007 .",basware ceo ilkka sihvo comments conjunction interim report whole basware succeeded well second quarter
positive,Cash flow from operating activities is estimated to be positive .,cash flow operating activities estimated positive
positive,Cision says the sale will return its U.K. operation to profitability .,cision says sale return u k operation profitability
positive,"Citigroup , Inc ( NYSE : C ) has announced that its Global Transaction Services ( GTS ) business has been awarded a new mandate by Finland-based Pohjola Bank Group .",citigroup inc nyse c announced global transaction services gts business awarded new mandate finland based pohjola bank group
positive,"Comptel , a vendor of dynamic Operations Support System ( OSS ) software , has been selected by Orascom Telecom ( OTH ) as partner for provisioning and activation solutions for mobile services .",comptel vendor dynamic operations support system oss software selected orascom telecom oth partner provisioning activation solutions mobile services
positive,"Department store sales improved by 14 % to EUR 1,070.6 mn .",department store sales improved eur mn
positive,DMASIA-16 August 2006-Benefon extends manufacturing capability with ASMobile -_ 2006 Digitalmediaasia.com & DMA Ltd. .,dmasia august benefon extends manufacturing capability asmobile digitalmediaasia com dma ltd
positive,"Finland 's national carrier Finnair PLC carried a record 8.5 million passengers in 2005 , an increase of 4.5 percent on the previous year , the airline reported Tuesday .",finland national carrier finnair plc carried record million passengers increase percent previous year airline reported tuesday
positive,"Finnair PLC carried a record 8.8 million passengers in 2006 , an increase of 3.5 percent on the previous year , the Finnish national carrier reported Tuesday .",finnair plc carried record million passengers increase percent previous year finnish national carrier reported tuesday
positive,"Finnish consulting and engineering group Poyry Plc ( OMX Helsinki : POY ) said on Wednesday ( 1 October ) that it has been awarded a contract by Tanqia Dibba FZC as owner-engineer for the wastewater system of Dibba , Emirate of Fujairah , UAE .",finnish consulting engineering group poyry plc omx helsinki poy said wednesday october awarded contract tanqia dibba fzc owner engineer wastewater system dibba emirate fujairah uae
positive,"Finnish financial solutions developer Basware Corporation ( OMX Helsinki BAS1V ) said on Tuesday ( 23 September ) that it will deliver a complete Invoice Automation solution to a large US engineering , construction and technical services organization .",finnish financial solutions developer basware corporation omx helsinki bas v said tuesday september deliver complete invoice automation solution large us engineering construction technical services organization
positive,Finnish handling systems company Cargotec Oyj ( HEL : CGCBV ) said today that it won a EUR 13 million ( USD 16.6 m ) contract to deliver MacGregor hatch covers for ships ordered by Norwegian shipowner Grieg Shipping .,finnish handling systems company cargotec oyj hel cgcbv said today eur million usd contract deliver macgregor hatch covers ships ordered norwegian shipowner grieg shipping
positive,Finnish operator Elisa and Aker Yards have signed a long-term service deal through which Elisa will deliver all necessary voice and data services for Aker Yards in Finland .,finnish operator elisa aker yards signed long term service deal elisa deliver necessary voice data services aker yards finland
positive,"Finnish steel maker Rautaruukki Oyj ( Ruukki ) said on July 7 , 2008 that it won a 9.0 mln euro ( $ 14.1 mln ) contract to supply and install steel superstructures for Partihallsforbindelsen bridge project in Gothenburg , western Sweden .",finnish steel maker rautaruukki oyj ruukki said july mln euro mln contract supply install steel superstructures partihallsforbindelsen bridge project gothenburg western sweden
positive,"Fiskars has a strong portfolio of international brands , which include Fiskars , Iittala , Gerber , Silva and Buster .",fiskars strong portfolio international brands include fiskars iittala gerber silva buster
positive,"For Teleste , the acquisition marks an entry into services business in a market where it has long been an established and significant supplier of products .",teleste acquisition marks entry services business market long established significant supplier products
positive,"Forestries were also higher , driven by yesterday 's bullish analyst comment on Stora Enso in Dagens Industri , dealers said .",forestries also higher driven yesterday bullish analyst comment stora enso dagens industri dealers said
positive,"Furthermore , efficiency improvement measures initiated earlier are now bearing fruit , '' CEO Jan Lang said .",furthermore efficiency improvement measures initiated earlier bearing fruit ceo jan lang said
positive,Global Banking News - 28 September 2010 Tieto Corporation and Pohjola Bank ( PINK : POJLF ) are to cooperate on SWIFT services .,global banking news september tieto corporation pohjola bank pink pojlf cooperate swift services
positive,Hearst will be able to consolidate about 20 % of all Russian market for advertising in press after the purchase .,hearst able consolidate russian market advertising press purchase
positive,"Helsingin Uutiset , Vantaan Sanomat and Lansivayla reach some 385,000 readers , or more than 40 % of the consumers in the greater Helsinki region .",helsingin uutiset vantaan sanomat lansivayla reach readers consumers greater helsinki region
positive,"HELSINKI ( AFX ) - Metso said it will upgrade one of UPM-Kymmene 's four paper machines at the latter 's mill in Jaemsaenkoski with a new coating color supply system , machine and process controls and quality measurements .",helsinki afx metso said upgrade one upm kymmene four paper machines latter mill jaemsaenkoski new coating color supply system machine process controls quality measurements
positive,"However , Simdax will remain available in the markets where it already has been approved as it has marketing authorisations or submitted applications in more than 40 countries , Orion added .",however simdax remain available markets already approved marketing authorisations submitted applications countries orion added
positive,"However , the broker gave an `` outperform '' recommendation on the stock .",however broker gave outperform recommendation stock
positive,"However , the total orders received will still be above last year s levels .",however total orders received still last year levels
positive,"In accordance with our strategy , we strengthened our local presence by establishing a representative office in South Africa in October .",accordance strategy strengthened local presence establishing representative office south africa october
positive,"In addition , Lehdentekijat Oy will start producing a new membership magazine , Viisas Raha ( Wise Money ) for the Association .",addition lehdentekijat oy start producing new membership magazine viisas raha wise money association
positive,"In future , the company intends to look for know-how from outside the company and to cooperate with other actors in the sector .",future company intends look know outside company cooperate actors sector
positive,Industry Investment is very interested in Glaston 's solar energy projects .,industry investment interested glaston solar energy projects
neutral,It also has potential clients in the growing environmental and recycling technology sectors .,also potential clients growing environmental recycling technology sectors
positive,It is now the leading private road ambulance service company in Finland .,leading private road ambulance service company finland
positive,"Known as Post Bank , the concept would see Fidelity Bank rolling out 75 offices in Ghana Post premises , to provide financial services to the people .",known post bank concept would see fidelity bank rolling offices ghana post premises provide financial services people
positive,"Kone 's factory located at Ayanambakkam , a suburb to the west of Chennai , is a fully integrated facility which gives it the capability to address costs .",kone factory located ayanambakkam suburb west chennai fully integrated facility gives capability address costs
positive,Last year SysOpen Digia invested in IBM product know-how in the building of portal and trading place systems and successfully implemented customer solutions supported by it .,last year sysopen digia invested ibm product know building portal trading place systems successfully implemented customer solutions supported
